"rt","serialno","division","sporder","puma","region","st","adjinc","pwgtp","agep","cit","citwp","cow","ddrs","dear","deye","dout","dphy","drat","dratx","drem","eng","fer","gcl","gcm","gcr","hins1","hins2","hins3","hins4","hins5","hins6","hins7","intp","jwmnp","jwrip","jwtr","lanx","mar","marhd","marhm","marht","marhw","marhyp","mig","mil","mlpa","mlpb","mlpcd","mlpe","mlpfg","mlph","mlpi","mlpj","mlpk","nwab","nwav","nwla","nwlk","nwre","oip","pap","relp","retp","sch","schg","schl","semp","sex","ssip","ssp","wagp","wkhp","wkl","wkw","wrk","yoep","anc","anc1p","anc2p","decade","dis","drivesp","esp","esr","fod1p","fod2p","hicov","hisp","indp","jwap","jwdp","lanp","migpuma","migsp","msp","naicsp","nativity","nop","oc","occp","paoc","pernp","pincp","pobp","povpip","powpuma","powsp","privcov","pubcov","qtrbir","rac1p","rac2p","rac3p","racaian","racasn","racblk","racnh","racnum","racpi","racsor","racwht","rc","sciengp","sciengrlp","sfn","sfr","socp","vps","waob","fagep","fancp","fcitp","fcitwp","fcowp","fddrsp","fdearp","fdeyep","fdisp","fdoutp","fdphyp","fdratp","fdratxp","fdremp","fengp","fesrp","fferp","ffodp","fgclp","fgcmp","fgcrp","fhicovp","fhins1p","fhins2p","fhins3c","fhins3p","fhins4c","fhins4p","fhins5c","fhins5p","fhins6p","fhins7p","fhisp","findp","fintp","fjwdp","fjwmnp","fjwrip","fjwtrp","flanp","flanxp","fmarp","fmarhdp","fmarhmp","fmarhtp","fmarhwp","fmarhyp","fmigp","fmigsp","fmilpp","fmilsp","foccp","foip","fpap","fpernp","fpincp","fpobp","fpowsp","fprivcovp","fpubcovp","fracp","frelp","fretp","fschgp","fschlp","fschp","fsemp","fsexp","fssip","fssp","fwagp","fwkhp","fwklp","fwkwp","fwrkp","fyoep","pwgtp1","pwgtp2","pwgtp3","pwgtp4","pwgtp5","pwgtp6","pwgtp7","pwgtp8","pwgtp9","pwgtp10","pwgtp11","pwgtp12","pwgtp13","pwgtp14","pwgtp15","pwgtp16","pwgtp17","pwgtp18","pwgtp19","pwgtp20","pwgtp21","pwgtp22","pwgtp23","pwgtp24","pwgtp25","pwgtp26","pwgtp27","pwgtp28","pwgtp29","pwgtp30","pwgtp31","pwgtp32","pwgtp33","pwgtp34","pwgtp35","pwgtp36","pwgtp37","pwgtp38","pwgtp39","pwgtp40","pwgtp41","pwgtp42","pwgtp43","pwgtp44","pwgtp45","pwgtp46","pwgtp47","pwgtp48","pwgtp49","pwgtp50","pwgtp51","pwgtp52","pwgtp53","pwgtp54","pwgtp55","pwgtp56","pwgtp57","pwgtp58","pwgtp59","pwgtp60","pwgtp61","pwgtp62","pwgtp63","pwgtp64","pwgtp65","pwgtp66","pwgtp67","pwgtp68","pwgtp69","pwgtp70","pwgtp71","pwgtp72","pwgtp73","pwgtp74","pwgtp75","pwgtp76","pwgtp77","pwgtp78","pwgtp79","pwgtp80"
"P","2014001263287","9","02","11605","4","53","1045195",24,22,1,,"1","2","2","2","2","2",,,"2",,"2",,,,"2","2","2","1","2","2","2",0,20,1,"01","2","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",10400,0,"12",0,"1",,"21",0,"2",0,0,3000,25,"1","5","1",,"2","032","142",,"2","1",,"1","6005",,"1","01","5170","104","061",,,,"6","4481    ","1",,"0","2830","4",3000,13400,"006",109,"11600","053","2","1","2","1","01","001","0","0","0","0","1","0","0","1","0","2","2",,,"273041",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37,6,39,25,7,8,7,21,39,8,22,22,22,24,42,39,25,24,26,30,37,7,43,30,8,7,6,29,40,7,26,22,31,29,41,52,20,25,28,20,9,41,6,26,40,42,42,19,6,43,30,28,30,33,9,6,22,23,25,29,9,39,7,23,33,41,42,21,8,32,25,22,25,24,7,8,22,26,26,23
"P","2014001264324","9","03","11611","4","53","1045195",22,22,1,,"1","2","2","2","2","2",,,"2",,"2",,,,"1","2","2","2","2","2","2",0,25,,"02","2","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"02",0,"1",,"18",0,"2",0,0,3000,25,"1","5","1",,"1","902","999",,"2",,,"1",,,"1","01","5170","093","049",,,,"6","4481    ","1",,"0","5240","4",3000,3000,"053",501,"11600","053","1","2","1","2","02","002","0","0","1","0","1","0","0","0","0",,,,,"434051",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,32,25,25,5,7,20,31,7,36,25,27,22,20,21,26,7,34,20,24,6,22,16,6,16,25,7,25,33,18,7,37,37,35,31,8,18,26,30,34,25,7,8,21,31,36,16,6,41,7,18,23,21,25,18,21,35,6,28,20,32,21,30,41,18,20,30,24,17,26,37,8,7,5,8,35,21,19,6,9
"P","2014001264626","9","01","11604","4","53","1045195",13,18,1,,"1","2","2","2","2","2",,,"2","1","2",,,,"1","2","2","2","2","2","2",0,,,,"1","5",,,,,,"3","4",,,,,,,,,,"2","5","2","2","3",0,0,"17",0,"2","15","18",0,"2",0,0,5000,30,"1","5","2",,"1","223","999",,"2",,,"6",,,"1","08","4970",,,"1200","10100","053","6","4451    ","1",,"0","9640",,5000,5000,"048",,,,"1","2","1","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"537064",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",14,26,2,2,2,2,26,14,14,2,25,14,14,24,14,14,25,14,15,14,14,25,2,2,2,2,26,14,13,2,25,15,13,24,13,13,24,14,13,13,14,2,26,26,25,25,2,13,13,25,2,15,14,2,14,14,2,13,14,13,14,2,25,26,26,25,2,14,14,26,2,14,13,2,13,13,2,15,13,15
"P","2014001265336","9","02","11611","4","53","1045195",30,21,1,,,"2","2","2","1","2",,,"1",,,,,,"2","2","1","1","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"1",,"16",0,"1",8600,0,0,,"3",,"2",,"1","051","999",,"1",,,"6",,,"1","01",,,,,,,"6",,"1",,"0",,,0,8600,"053",110,,,"2","1","3","1","01","001","0","0","0","0","1","0","0","1","0",,,,,,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,24,66,39,31,9,8,59,54,9,29,57,7,8,35,30,52,29,28,27,29,29,6,22,30,51,48,9,9,68,36,9,53,58,34,27,11,34,28,29,27,33,10,26,29,51,39,13,11,49,24,12,48,47,32,33,9,31,28,24,31,31,53,36,30,8,10,52,45,10,31,53,10,9,31,32,50,27,33,30
"P","2014001266861","9","03","11604","4","53","1045195",23,20,1,,,"2","2","2","2","2",,,"2",,,,,,"1","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"3","15","19",0,"1",0,0,0,,"3",,"2",,"2","032","050",,"2",,,"6",,,"1","01",,,,,,,"6",,"1",,"0",,,0,0,"053",501,,,"1","2","1","1","01","001","0","0","0","0","1","0","0","1","0",,,,,,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",27,8,7,40,7,24,27,37,39,33,21,22,7,30,23,7,21,23,21,44,39,24,22,23,26,7,41,25,22,21,6,38,25,24,6,22,8,7,36,23,22,7,7,35,6,24,23,42,35,34,24,25,6,41,26,7,21,21,23,39,41,25,26,23,27,7,41,21,25,27,7,43,18,22,6,19,7,8,38,25
"P","2014001273218","9","03","11611","4","53","1045195",16,21,1,,"1","2","2","2","2","2",,,"2","1","2",,,,"2","1","2","2","2","2","2",0,10,1,"01","1","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"2","15","18",0,"2",0,0,5000,16,"1","1","1",,"1","210","999",,"2","1",,"1",,,"1","02","7860","069","028","1200",,,"6","6111    ","1",,"0","2550","4",5000,5000,"006",260,"11600","053","1","2","2","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"2590XX",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5,27,6,4,15,18,23,31,5,18,17,19,5,17,16,18,30,16,16,20,19,18,21,17,29,28,15,22,13,23,5,25,24,4,5,5,14,32,6,5,21,4,23,30,19,17,5,4,27,22,16,15,27,16,22,15,5,27,13,18,14,20,17,18,5,5,19,14,18,6,29,5,14,30,37,30,15,6,33,38
"P","2014001283609","9","02","11611","4","53","1045195",10,18,1,,"9","2","2","2","2","2",,,"2",,,,,,"1","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","1","2","1","3",0,0,"02",0,"2","14","16",0,"1",0,0,0,,"3",,"2",,"1","022","999",,"2",,,"3",,,"1","01","9920",,,,,,"6","9920    ","1",,"0","9920",,0,0,"053",501,,,"1","2","1","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"999920",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",8,19,10,3,19,26,3,11,9,4,8,4,9,15,14,18,12,20,8,14,11,2,12,17,2,3,18,9,12,18,12,19,10,10,12,3,9,3,10,13,12,3,12,22,3,3,19,19,15,17,12,17,10,9,11,4,9,4,10,3,8,16,9,3,21,17,3,11,11,3,9,3,13,8,9,12,14,12,11,3
"P","2014001289709","9","02","11604","4","53","1045195",10,19,1,,"1","1","2","2","1","2",,,"1",,"2",,,,"2","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"3","3","3","2","3",0,0,"13",0,"1",,"16",0,"2",0,0,0,,"2",,"2",,"4","999","999",,"1",,,"6",,,"2","01","8680",,,,,,"6","722Z    ","1",,"0","4030","4",0,0,"053",0,,,"2","2","3","2","02","002","0","0","1","0","1","0","0","0","0",,,,,"352021",,"1","1","0","0","0","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3,4,16,13,5,19,25,13,8,5,13,9,15,14,3,10,8,20,16,8,3,3,21,10,4,13,22,10,9,3,7,12,9,7,3,9,8,15,16,8,13,17,3,9,12,4,3,9,10,20,11,10,10,11,13,8,14,3,2,7,18,16,2,13,22,4,3,17,12,17,16,12,11,13,15,10,11,4,3,19
"P","2014001290355","9","03","11610","4","53","1045195",25,21,1,,,"2","2","2","2","2",,,"2","1","2",,,,"2","2","2","2","2","2","2",0,,,,"1","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"2","15","19",0,"2",0,0,0,,"3",,"2",,"1","785","999",,"2",,,"6",,,"2","01",,,,"1960",,,"6",,"1",,"0",,"1",0,0,"053",109,,,"2","2","4","6","57","009","0","1","0","0","1","0","0","0","0",,,"1","3",,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9,27,27,17,47,38,21,39,6,37,7,20,9,7,28,32,22,28,27,22,20,42,7,6,26,24,44,22,24,19,19,48,28,31,7,9,40,37,7,6,48,26,26,27,7,7,26,10,39,7,42,27,35,42,26,26,24,21,22,24,22,6,46,34,27,23,8,23,19,21,21,9,25,22,42,46,8,8,47,53
"P","2014001290784","9","02","11613","4","53","1045195",19,17,1,,,"2","2","2","2","2",,,"2",,,,,,"1","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"2","13","14",0,"1",0,0,0,,"3",,"2",,"1","720","999",,"2",,"7","6",,,"1","01",,,,,,,"6",,"1","8","1",,,0,0,"053",292,,,"1","2","2","6","45","006","0","1","0","0","1","0","0","0","1",,,,,,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19,5,29,21,21,33,28,24,26,26,13,19,36,5,8,6,4,32,19,19,19,6,37,19,17,31,16,20,35,19,27,23,31,7,5,4,5,38,19,23,19,31,5,18,18,6,24,17,6,21,18,14,5,35,38,35,42,5,21,15,18,29,6,27,23,8,13,17,7,18,27,17,7,26,38,37,30,6,15,21
"P","2014001293093","9","03","11614","4","53","1045195",16,17,1,,,"2","2","2","2","2",,,"2",,,,,,"1","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"3","14","14",0,"1",0,0,0,,"3",,"2",,"4","999","999",,"2",,"3","6",,,"1","01",,,,,,,"6",,"1","1","1",,,0,0,"053",293,,,"1","2","2","1","01","001","0","0","0","0","1","0","0","1","1",,,,,,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",17,19,28,16,28,5,5,15,20,16,28,14,5,17,5,6,28,16,27,18,20,14,6,18,5,31,31,17,20,19,5,14,29,18,27,32,3,12,5,18,16,16,32,17,28,5,6,19,14,18,25,17,5,15,5,6,32,17,30,17,16,17,4,17,5,28,26,20,16,18,5,14,28,15,26,24,6,18,5,16
"P","2014001293174","9","02","11611","4","53","1045195",31,18,1,,,"2","2","2","2","2",,,"2","1","2",,,,"2","2","2","1","2","2","2",0,,,,"1","5",,,,,,"3","4",,,,,,,,,,"2","5","2","2","3",0,0,"10",0,"2","14","14",0,"2",0,0,0,,"3",,"2",,"2","291","211",,"2",,,"6",,,"1","02",,,,"1200","11600","053","6",,"1",,"0",,"4",0,0,"053",191,,,"2","1","3","9","68","017","1","0","0","0","2","0","0","1","0",,,,,,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",30,47,36,32,21,66,46,27,46,49,56,60,35,52,38,79,27,37,32,14,29,9,17,30,25,14,19,20,9,10,9,9,29,11,30,8,21,37,40,12,33,11,9,37,33,10,25,23,9,13,12,13,23,9,28,10,51,31,32,59,28,33,50,52,25,55,36,26,32,38,40,62,40,48,49,51,31,38,25,49
"P","2014001294753","9","01","11613","4","53","1045195",32,22,1,,,"2","2","2","2","2",,,"2","1","2",,,,"2","2","2","1","2","2","2",0,,,,"1","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"00",0,"1",,"17",0,"2",0,0,0,,"3",,"2",,"1","210","999",,"2",,,"6",,,"1","02",,,,"1200",,,"6",,"1",,"0",,"1",0,0,"053",0,,,"2","1","3","1","01","001","0","0","0","0","1","0","0","1","0",,,,,,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",54,41,56,50,11,7,28,28,37,29,51,11,36,26,28,37,10,32,34,54,11,39,12,13,45,39,44,27,32,30,9,53,29,36,30,12,53,31,39,43,9,22,9,12,51,75,38,40,24,36,11,35,30,37,30,12,63,51,27,11,52,31,43,59,9,8,25,41,31,27,71,8,32,29,30,56,10,26,30,12
"P","2014001295226","9","03","11612","4","53","1045195",24,19,1,,"1","2","2","2","2","2",,,"2",,,,,,"1","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"02",0,"3","15","19",0,"1",0,0,0,,"2",,"2",,"1","051","999",,"2",,,"6",,,"1","01","3190",,,,,,"6","333MS   ","1",,"0","8740",,0,0,"053",501,,,"1","2","2","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"519061",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44,28,6,6,30,21,20,22,18,39,25,7,36,24,40,22,8,24,8,6,9,28,37,35,26,26,23,21,21,8,24,37,7,28,9,19,48,34,50,7,8,24,47,42,31,25,17,21,20,8,29,32,7,27,6,25,36,23,44,44,39,25,7,6,28,23,20,27,18,41,27,6,48,25,50,34,9,28,5,34
"P","2014001295507","9","02","11612","4","53","1045195",21,23,1,,"1","2","2","2","2","2",,,"2",,,,,,"1","2","2","2","2","2","2",0,40,1,"01","2","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"02",0,"1",,"20",0,"1",0,0,27000,40,"1","1","1",,"2","011","032",,"2","1",,"1",,,"1","01","8770","057","014",,,,"6","8111Z   ","1",,"0","7210",,27000,27000,"053",501,"11600","053","1","2","4","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"493031",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",,"0",,"0",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39,22,40,7,18,25,19,6,18,33,21,6,7,22,21,6,28,23,34,20,6,20,7,36,20,21,21,38,22,5,21,38,28,19,21,36,6,21,7,21,29,23,38,7,23,17,20,6,21,35,22,6,7,18,18,7,42,22,34,16,6,21,8,44,22,24,21,29,23,7,17,37,37,22,19,30,7,20,6,27
"P","2014001297667","9","03","11613","4","53","1045195",16,22,1,,"2","2","2","2","2","2",,,"2",,"2",,,,"1","2","2","2","2","2","2",0,20,1,"01","2","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",0,0,"02",0,"2","15","19",0,"2",0,0,14700,20,"1","1","1",,"4","999","999",,"2","1",,"1",,,"1","01","8670","104","061",,,,"6","721M    ","1",,"0","2340","4",14700,14700,"053",501,"11600","053","1","2","3","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"253000",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0",24,16,16,19,30,14,6,16,21,25,16,13,24,5,17,3,5,16,4,20,5,14,15,17,5,18,21,20,5,4,15,16,5,26,17,25,28,16,22,15,25,15,16,18,29,18,5,16,26,27,15,13,22,6,20,4,4,17,5,16,5,13,14,16,4,22,24,18,4,4,15,17,6,26,16,33,26,13,26,15
"P","2014001298749","9","03","11613","4","53","1045195",14,22,1,,"1","2","2","2","2","2",,"2","2",,,,,,"2","2","1","1","2","2","2",0,20,1,"01","2","2","2","2","2","2",2012,"1","2","1","0","0","0","0","0","0","0","0","3","5","3","3","3",0,0,"12",0,"1",,"18",0,"1",5000,0,32000,37,"1","1","1",,"1","050","999",,"2","1",,"1",,,"1","01","8580","098","055",,,,"3","71395   ","1",,"0","4320",,32000,37000,"053",301,"11600","053","2","1","4","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"391021","01","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",33,5,15,29,23,13,16,15,12,14,4,14,24,4,15,4,14,22,13,4,20,3,12,24,22,12,13,13,14,15,4,13,30,4,15,4,17,24,17,24,6,20,14,4,3,15,14,17,14,15,22,16,4,24,14,23,14,4,19,24,5,26,14,4,4,15,15,17,14,13,24,14,4,27,12,22,13,4,17,4
"P","2014001300343","9","03","11610","4","53","1045195",28,23,4,2008,"1","2","2","2","2","2",,,"2","1","2",,,,"1","2","2","2","2","2","2",0,60,1,"01","1","5",,,,,,"1","4",,,,,,,,,,"3","5","3","3","3",0,7500,"10",0,"1",,"21",0,"2",0,0,20000,40,"1","1","1",2001,"2","795","720","7","2","1",,"1","6107",,"1","01","8190","076","025","2910",,,"6","622     ","2",,"0","3255","4",20000,27500,"233",501,"11600","053","1","2","4","6","45","006","0","1","0","0","1","0","0","0","0","2","1",,,"291141",,"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37,30,30,34,52,27,7,28,7,43,8,23,10,26,53,62,28,9,32,40,7,8,45,25,27,49,31,42,30,21,23,9,32,10,27,36,8,28,47,26,32,28,28,8,9,26,47,40,42,9,47,29,39,28,9,8,27,40,26,8,43,43,9,25,32,9,31,8,23,24,26,58,28,52,28,31,55,30,9,37
"P","2014001301789","9","01","11604","4","53","1045195",16,19,1,,"1","2","2","2","2","2",,,"2",,"2",,,,"1","2","2","2","2","2","2",0,,,,"2","5",,,,,,"1","4",,,,,,,,,,"2","5","2","2","3",0,0,"17",0,"3","15","18",0,"2",0,0,1300,15,"1","4","2",,"2","026","022",,"2",,,"6",,,"1","01","5180",,,,,,"6","44821   ","1",,"0","4965",,1300,1300,"053",,,,"1","2","3","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"419099",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",32,2,17,17,31,2,18,17,3,16,17,2,16,16,17,3,31,33,32,16,2,31,17,17,3,29,18,17,29,15,16,34,16,16,15,30,2,3,2,16,3,31,17,17,2,31,17,17,30,16,17,33,17,16,17,31,2,2,3,16,32,3,17,17,31,2,17,17,2,17,17,3,16,17,16,2,31,32,32,17
"P","2014001303503","9","02","11614","4","53","1045195",8,21,1,,"1","2","2","2","2","2",,,"2","1",,,,,"2","2","2","1","2","2","2",0,,,,"1","5",,,,,,"1","4",,,,,,,,,,"2","1","2","1","3",0,2000,"12",0,"1",,"13",0,"1",0,0,1500,35,"1","6","2",,"2","032","082",,"2",,,"3",,,"1","01","3970",,,"1110",,,"6","3399M   ","1",,"0","8740",,1500,3500,"027",28,,,"2","1","1","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"519061",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,2,9,8,9,8,7,14,8,2,13,8,12,7,3,7,3,13,8,2,13,15,9,8,7,8,9,2,7,12,2,7,2,8,14,9,12,2,8,12,2,2,8,8,8,7,8,14,8,2,12,8,14,8,3,7,2,14,7,2,13,13,8,9,8,8,7,3,9,14,2,7,2,7,15,7,14,2,8,13
"P","2014001303503","9","03","11614","4","53","1045195",8,21,1,,"1","2","2","2","2","2",,,"2","1","2",,,,"2","2","2","1","2","2","2",0,20,,"02","1","5",,,,,,"1","4",,,,,,,,,,"3","5","2","3","3",360,0,"12",0,"2","15","18",0,"2",0,0,11100,30,"1","1","1",,"2","032","022",,"2",,,"1",,,"1","01","5380","116","073","1110",,,"6","45211   ","1",,"0","4760","4",11100,11460,"053",93,"11600","053","2","1","3","1","01","001","0","0","0","0","1","0","0","1","0",,,,,"412031",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",2,2,8,7,7,8,7,14,8,2,13,10,13,9,3,6,2,14,8,3,14,15,8,7,11,8,7,2,8,12,3,8,2,10,16,8,13,2,9,13,2,2,9,8,9,6,10,13,8,3,13,7,14,8,2,8,2,15,9,2,15,14,8,8,9,8,7,2,9,14,3,7,2,7,13,9,15,3,7,13
"P","2014001304108","9","01","11604","4","53","1045195",12,22,1,,"1","2","2","2","2","2",,,"2",,"2",,,,"1","2","2","2","2","2","2",0,20,1,"01","2","5",,,,,,"3","4",,,,,,,,,,"3","5","3","3","3",0,0,"00",0,"3","15","21",0,"2",0,0,14000,40,"1","1","1",,"3","996","999",,"2","1",,"1","3601",,"1","01","8180","127","081",,"11600","053","6","621M    ","1",,"0","3400","4",14000,14000,"053",114,"11600","053","1","2","1","1","01","001","0","0","0","0","1","0","0","1","0","1","2",,,"292041",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",14,23,15,4,19,21,3,14,13,4,11,4,12,12,12,25,13,22,12,3,13,21,12,3,19,19,3,11,11,4,11,4,11,12,18,23,13,22,11,4,14,23,14,4,23,21,3,12,12,3,13,4,13,12,14,25,14,21,10,4,11,23,14,5,20,19,3,15,15,3,11,4,10,11,11,23,12,21,15,4
