"statefp","countyfp","tractce","puma5ce"
"53","033","027000","11611"
"53","033","027100","11611"
"53","033","027200","11611"
"53","033","027300","11611"
"53","033","027400","11611"
"53","033","027500","11611"
"53","033","027600","11611"
"53","033","027800","11611"
"53","033","027900","11611"
"53","033","028000","11611"
"53","033","028100","11611"
"53","033","028200","11611"
"53","033","028300","11611"
"53","033","028402","11611"
"53","033","028403","11611"
"53","033","028500","11611"
"53","033","028600","11611"
"53","033","028700","11611"
"53","033","028801","11611"
"53","033","028802","11611"
"53","033","027701","11612"
"53","033","027702","11612"
"53","033","028901","11612"
"53","033","028902","11612"
"53","033","029001","11612"
"53","033","029003","11612"
"53","033","030003","11612"
"53","033","030004","11612"
"53","033","030005","11612"
"53","033","030006","11612"
"53","033","030100","11612"
"53","033","030201","11612"
"53","033","030202","11612"
"53","033","030304","11612"
"53","033","030305","11612"
"53","033","030306","11612"
"53","033","030308","11612"
"53","033","030309","11612"
"53","033","030310","11612"
"53","033","030311","11612"
"53","033","030312","11612"
"53","033","030313","11612"
"53","033","030314","11612"
"53","033","990100","11612"
"53","033","029004","11613"
"53","033","029101","11613"
"53","033","029102","11613"
"53","033","029203","11613"
"53","033","029204","11613"
"53","033","029205","11613"
"53","033","029206","11613"
"53","033","029305","11613"
"53","033","029306","11613"
"53","033","029307","11613"
"53","033","029403","11613"
"53","033","029405","11613"
"53","033","029406","11613"
"53","033","029407","11613"
"53","033","029408","11613"
"53","033","029502","11613"
"53","033","029503","11613"
"53","033","029504","11613"
"53","033","029601","11613"
"53","033","029700","11613"
"53","033","029801","11613"
"53","033","031703","11613"
"53","033","031704","11613"
"53","033","029602","11614"
"53","033","029802","11614"
"53","033","029901","11614"
"53","033","029902","11614"
"53","033","030401","11614"
"53","033","030403","11614"
"53","033","030404","11614"
"53","033","030501","11614"
"53","033","030503","11614"
"53","033","030504","11614"
"53","033","030600","11614"
"53","033","030700","11614"
"53","033","030801","11614"
"53","033","030802","11614"
"53","033","030901","11614"
"53","033","030902","11614"
"53","033","031000","11614"
"53","033","031100","11614"
"53","033","031202","11614"
"53","033","031205","11614"
"53","033","031206","11614"
"53","033","031204","11615"
"53","033","031301","11615"
"53","033","031302","11615"
"53","033","031400","11615"
"53","033","031501","11615"
"53","033","031502","11615"
"53","033","031601","11615"
"53","033","031603","11615"
"53","033","031604","11615"
"53","033","031605","11615"
"53","033","031705","11615"
"53","033","031706","11615"
"53","033","031800","11615"
"53","033","031903","11615"
"53","033","031904","11615"
"53","033","031906","11615"
"53","033","032002","11615"
"53","033","032003","11615"
"53","033","032005","11615"
"53","033","032006","11615"
"53","033","032007","11615"
"53","033","032008","11615"
"53","033","032010","11615"
"53","033","032011","11615"
"53","033","032102","11615"
"53","033","021906","11616"
"53","033","032307","11616"
"53","033","032311","11616"
"53","033","032315","11616"
"53","033","032319","11616"
"53","033","032320","11616"
"53","033","032321","11616"
"53","033","032322","11616"
"53","033","032326","11616"
"53","033","032327","11616"
"53","033","032328","11616"
"53","033","032329","11616"
"53","033","032401","11616"
"53","033","032402","11616"
"53","033","032500","11616"
"53","033","032601","11616"
"53","033","032602","11616"
"53","033","032702","11616"
"53","033","032703","11616"
"53","033","032704","11616"
"53","033","032800","11616"
